gene	locus_tag	start	end	length_bp
yesF	BSU_06880	754920	755780	861
cotJA	BSU_06890	755907	756155	249
cotJB	BSU_06900	756139	756402	264
cotJC	BSU_06910	756417	756986	570
yesJ	BSU_06920	757111	757653	543
yesK	BSU_06930	757676	757978	303
yesL	BSU_06940	758093	758722	630
yesM	BSU_06950	758719	760452	1734
yesN	BSU_06960	760452	761558	1107
yesO	BSU_06970	761662	762945	1284
rhgP	BSU_06980	762942	763871	930
rhgQ	BSU_06990	763875	764765	891
rhgH	BSU_07000	764781	765815	1035
rhgR	BSU_07010	765838	768123	2286
rhgT	BSU_07020	768137	768835	699
yesU	BSU_07030	768828	769490	663
yesV	BSU_07040	769487	770113	627
rhgW	BSU_07050	770234	772096	1863
rhgX	BSU_07060	772142	773980	1839
yesY	BSU_07070	774138	774791	654
rhgZ	BSU_07080	774799	776790	1992
yetA	BSU_07090	776834	779407	2574
lplA	BSU_07100	779529	781037	1509
lplB	BSU_07110	781092	782048	957
lplC	BSU_07120	782062	782949	888
lplD	BSU_07130	782958	784298	1341
yetF	BSU_07140	784381	785076	696
hmoA	BSU_07150	785113	785439	327
yetH	BSU_07160	785543	785905	363
yezD	BSU_07190	787715	787882	168
calJ	BSU_07200	787992	788636	645
yetK	BSU_07210	788636	789628	993
flvL	BSU_07220	789652	790155	504
flvM	BSU_07230	790318	791427	1110
yetN	BSU_07240	791462	792532	1071
cypD	BSU_07250	792682	795867	3186
ltaSA	BSU_07260	796314	798233	1920
spmH	BSU_07270	798469	799233	765
spmG	BSU_07280	799240	800208	969
yfnF	BSU_07290	800232	801143	912
yfnE	BSU_07300	801172	802350	1179
yfnD	BSU_07310	802351	803286	936
yfnC	BSU_07320	803317	804546	1230
pynN	BSU_07330	804657	805364	708
mtrA	BSU_07340	805456	806841	1386
vdhT	BSU_07350	807091	808548	1458
yfmS	BSU_07360	808562	809422	861
ettA	BSU_07370	809557	811446	1890
yfmQ	BSU_07380	811569	812015	447
copP	BSU_07390	812140	812562	423
copO	BSU_07400	812628	813818	1191
yfmN	BSU_07410	814109	814264	156
ettM	BSU_07420	814384	815940	1557
yfmL	BSU_07430	816113	817243	1131
yfmK	BSU_07440	817311	817757	447
yfmJ	BSU_07450	817810	818829	1020
yfmI	BSU_07460	819311	820531	1221
yfmG	BSU_07480	820867	822330	1464
fecF	BSU_07490	822903	823703	801
fecE	BSU_07500	823716	824717	1002
fecD	BSU_07510	824714	825715	1002
fecC	BSU_07520	825787	826734	948
yfmB	BSU_07530	826843	827211	369
yflT	BSU_07550	827455	827802	348
pelA	BSU_07560	827993	829255	1263
maeS	BSU_07570	829382	830818	1437
citS	BSU_07580	830945	832573	1629
citT	BSU_07590	832545	833225	681
yflP	BSU_07600	833228	834187	960
citM	BSU_07610	834383	835684	1302
yflN	BSU_07620	835740	836534	795
nosA	BSU_07630	836653	837744	1092
acyP	BSU_07640	837735	838010	276
yflK	BSU_07650	838077	838742	666
yflJ	BSU_07660	838783	838920	138
yflI	BSU_07670	839077	839232	156
yflH	BSU_07680	839339	839653	315
mapB	BSU_07690	839735	840484	750
nagP	BSU_07700	840656	842014	1359
ltaSB	BSU_07710	842047	843996	1950
yflD	BSU_07720	844097	844234	138
yflB	BSU_07735	844253	844645	393
yflA	BSU_07750	844770	846185	1416
yfkT	BSU_07760	846182	847258	1077
yfkS	BSU_07770	847282	847482	201
yfkR	BSU_07780	847498	848652	1155
yfkQ	BSU_07790	848633	850174	1542
treP	BSU_07800	850367	851779	1413
treA	BSU_07810	851850	853535	1686
treR	BSU_07820	853556	854272	717
hypO	BSU_07830	854412	855077	666
yfkN	BSU_07840	855114	859502	4389
sufLB	BSU_07850	859745	860263	519
yfkL	BSU_07860	860303	861493	1191
yfkK	BSU_07870	861586	861801	216
yfkJ	BSU_07880	862004	862474	471
yfkI	BSU_07890	862492	862812	321
rbn	BSU_07900	862836	863663	828
yfkF	BSU_07910	863862	865037	1176
chaA	BSU_07920	865205	866260	1056
yfkD	BSU_07930	866331	867125	795
mscC	BSU_07940	867164	868006	843
yfkA	BSU_07955	868007	869128	1122
yfjT	BSU_07970	869273	869458	186
pdaA	BSU_07980	869559	870350	792
yfjR	BSU_07990	870388	871248	861
yfjQ	BSU_08000	871347	872306	960
yfjP	BSU_08010	872425	873288	864
yfjO	BSU_08020	873402	874802	1401
yfzA	BSU_08029	875428	875694	267
dusC	BSU_08030	876426	877403	978
yfjM	BSU_08040	877599	878051	453
yfjL	BSU_08050	878081	878770	690
acoA	BSU_08060	879002	880003	1002
acoB	BSU_08070	880007	881035	1029
acoC	BSU_08080	881049	882245	1197
acoL	BSU_08090	882266	883642	1377
acoR	BSU_08100	883758	885575	1818
sspH	BSU_08110	885629	885808	180
yfjF	BSU_08120	885844	886173	330
yfjE	BSU_08130	886223	886681	459
yfjD	BSU_08140	886775	887332	558
yfjC	BSU_08150	887364	888131	768
yfjB	BSU_08160	888143	889366	1224
yfjA	BSU_08170	889372	889686	315
malA	BSU_08180	890022	891371	1350
malR	BSU_08190	891436	892200	765
malP	BSU_08200	892215	893798	1584
yfiB	BSU_08210	893904	895625	1722
yfiC	BSU_08220	895619	897433	1815
catD	BSU_08230	897588	897992	405
catE	BSU_08240	898010	898867	858
yfiF	BSU_08250	898961	899905	945
yfiG	BSU_08260	900080	901528	1449
yfiH	BSU_08270	901555	902496	942
yfiI	BSU_08280	902506	903687	1182
linJ	BSU_08290	903811	905013	1203
linK	BSU_08300	905010	905672	663
bifL	BSU_08310	905816	906751	936
bifM	BSU_08320	906764	907954	1191
bifN	BSU_08330	907968	909125	1158
padR	BSU_08340	909198	909746	549
estB	BSU_08350	910019	910651	633
icaC	BSU_08360	910840	911928	1089
yfiR	BSU_08370	911964	912581	618
yfiS	BSU_08380	912547	913800	1254
bstA	BSU_08390	913924	914460	537
yfiU	BSU_08400	914457	916013	1557
yfiV	BSU_08410	916124	916606	483
mprF	BSU_08425	916778	919348	2571
sxzY	BSU_08440	919366	920343	978
sxzZ	BSU_08450	920474	921475	1002
sxzA	BSU_08460	921472	922503	1032
yfhB	BSU_08470	922618	923499	882
yfhC	BSU_08480	923587	924171	585
yfhD	BSU_08490	924210	924401	192
yfhE	BSU_08500	924468	924578	111
yfhF	BSU_08510	924633	925544	912
recX	BSU_08520	925633	926427	795
yfhH	BSU_08530	926429	926743	315
yfhI	BSU_08540	926886	928079	1194
sspK	BSU_08550	928112	928264	153
yfhJ	BSU_08560	928389	928658	270
yfhK	BSU_08570	928803	929321	519
spdL	BSU_08580	929406	929738	333
ephM	BSU_08590	929725	930585	861
csbB	BSU_08600	930818	931807	990
yfhO	BSU_08610	931879	934464	2586
yfhP	BSU_08620	934457	935440	984
mutY	BSU_08630	935656	936765	1110
yfhS	BSU_08640	936773	936997	225
fabL	BSU_08650	937079	937831	753
sspE	BSU_08660	937900	938154	255
ygaB	BSU_08670	938243	938587	345
ygaC	BSU_08680	938731	939261	531
ygaD	BSU_08690	939349	941091	1743
ygaE	BSU_08700	941168	942229	1062
gsaB	BSU_08710	942449	943738	1290
bcp	BSU_08720	943891	944364	474
perR	BSU_08730	944487	944924	438
ygzB	BSU_08740	944959	945312	354
ygxA	BSU_08750	945520	946404	885
spo0M	BSU_08760	953373	954149	777
ygzA	BSU_08770	954291	954494	204
ygzC	BSU_08779	954579	954851	273
ygaJ	BSU_08780	954893	955585	693
thiC	BSU_08790	955895	957667	1773
ygaK	BSU_08800	957705	959060	1356
senS	BSU_08810	959311	959508	198
katA	BSU_08820	959535	960986	1452
ssuB	BSU_08830	961394	962161	768
ssuA	BSU_08840	962179	963177	999
ssuC	BSU_08850	963174	964004	831
ssuD	BSU_08860	964027	965157	1131
ygaN	BSU_08870	965261	965797	537
rpsNB	BSU_08880	965909	966178	270
ygaO	BSU_08890	966196	966669	474
ygzD	BSU_08899	966671	966871	201
yhzB	BSU_08900	967229	967852	624
queG	BSU_08910	967935	969095	1161
yhbB	BSU_08920	969162	970097	936
trmL	BSU_08930	970135	970617	483
yhbD	BSU_08940	970667	971383	717
yhbE	BSU_08950	971374	972087	714
yhbF	BSU_08960	972099	972806	708
prkA	BSU_08970	973156	975051	1896
yhbH	BSU_08980	975231	976409	1179
yhbI	BSU_08990	976569	977033	465
yhbJ	BSU_09000	977069	977734	666
yhcA	BSU_09010	977775	979373	1599
yhcB	BSU_09020	979396	979926	531
yhcC	BSU_09030	979939	980313	375
yhcD	BSU_09040	980313	980468	156
yhcE	BSU_09050	980473	981234	762
yhcF	BSU_09060	981237	981602	366
yhcG	BSU_09070	981604	982302	699
yhcH	BSU_09080	982319	983236	918
yhcI	BSU_09090	983229	984170	942
cspB	BSU_09100	984262	984465	204
yhcJ	BSU_09110	984901	985731	831
dgcK	BSU_09120	985734	986813	1080
tcyP	BSU_09130	986986	988377	1392
yhcM	BSU_09140	988417	988872	456
yhcN	BSU_09150	989022	989591	570
yhcO	BSU_09165	989712	990680	969
yhcQ	BSU_09180	990612	991265	654
mncR	BSU_09190	991348	995001	3654
srtA	BSU_09200	994998	995594	597
yhcT	BSU_09210	995624	996532	909
yhcU	BSU_09220	996643	997038	396
yhcV	BSU_09230	997175	997597	423
glpW	BSU_09240	997724	998386	663
yhcX	BSU_09250	998402	999943	1542
yhxA	BSU_09260	1000364	1001716	1353
glpP	BSU_09270	1001744	1002322	579
glpF	BSU_09280	1002501	1003325	825
glpK	BSU_09290	1003344	1004834	1491
glpD	BSU_09300	1004975	1006642	1668
pgcA	BSU_09310	1006774	1008519	1746
yhcY	BSU_09320	1008668	1009807	1140
yhcZ	BSU_09330	1009804	1010448	645
azr	BSU_09340	1010445	1010969	525
yhdB	BSU_09350	1010984	1011226	243
yhdC	BSU_09360	1011427	1011750	324
lytF	BSU_09370	1011792	1013258	1467
nsrR	BSU_09380	1013411	1013851	441
ygxB	BSU_09390	1013958	1015616	1659
spoVR	BSU_09400	1015647	1017053	1407
phoA	BSU_09410	1017083	1018468	1386
lytE	BSU_09420	1018998	1020002	1005
citR	BSU_09430	1020073	1020948	876
citA	BSU_09440	1021057	1022157	1101
yhdF	BSU_09450	1022231	1023100	870
bcaP	BSU_09460	1023350	1024747	1398
yhdH	BSU_09470	1024865	1026220	1356
yhdI	BSU_09480	1026255	1027664	1410
yhdJ	BSU_09490	1027774	1028202	429
asiMB	BSU_09500	1028233	1028523	291
asiMA	BSU_09510	1028511	1029587	1077
sigM	BSU_09520	1029577	1030068	492
akrN	BSU_09530	1030265	1031260	996
plsC	BSU_09540	1031395	1031994	600
yhdP	BSU_09550	1032063	1033397	1335
cueR	BSU_09560	1033458	1033889	432
yhdR	BSU_09570	1034046	1035227	1182
yhdT	BSU_09590	1035554	1036939	1386
crcBA	BSU_09600	1036953	1037309	357
crcBB	BSU_09610	1037306	1037701	396
yhdW	BSU_09620	1037688	1038419	732
yhdX	BSU_09630	1038653	1038760	108
mscY	BSU_09640	1038909	1040024	1116
srtN	BSU_09650	1040094	1040837	744
yheN	BSU_09660	1040861	1041709	849
dat	BSU_09670	1041994	1042842	849
nhaC	BSU_09680	1042885	1044246	1362
nhaX	BSU_09690	1044373	1044873	501
bmrB	BSU_09700	1045037	1045198	162
bmrC	BSU_09710	1045318	1047075	1758
bmrD	BSU_09720	1047072	1049093	2022
yheG	BSU_09730	1049142	1049762	621
yheF	BSU_09740	1049801	1049926	126
sspB	BSU_09750	1050031	1050234	204
yheE	BSU_09760	1050443	1050661	219
spaD	BSU_09770	1050811	1052172	1362
spaC	BSU_09780	1052162	1053253	1092
yheB	BSU_09790	1053520	1054653	1134
yheA	BSU_09800	1054746	1055099	354
yhaZ	BSU_09810	1055143	1056216	1074
yhaX	BSU_09830	1056702	1057568	867
hemZ	BSU_09840	1057680	1059185	1506
khtU	BSU_09850	1059203	1060420	1218
khtT	BSU_09860	1060427	1060924	498
khtS	BSU_09870	1060988	1061326	339
yhaR	BSU_09880	1061491	1062258	768
yhzD	BSU_09889	1062279	1062464	186
yhaQ	BSU_09890	1062591	1063487	897
yhaP	BSU_09900	1063480	1064739	1260
yhaO	BSU_09910	1064846	1066072	1227
sbcE	BSU_09920	1066077	1068968	2892
yhaM	BSU_09930	1069042	1069986	945
yhaL	BSU_09940	1070111	1070323	213
prsA	BSU_09950	1070364	1071242	879
sscA	BSU_09958	1071402	1071488	87
sscB	BSU_09959	1071613	1071699	87
yhaJ	BSU_09965	1072042	1072560	519
yhaI	BSU_09980	1072768	1073109	342
scoC	BSU_09990	1073106	1073717	612
yhaH	BSU_10000	1073895	1074251	357
yhzF	BSU_10009	1074381	1074572	192
trpP	BSU_10010	1074646	1075164	519
serC	BSU_10020	1075289	1076368	1080
hinT	BSU_10030	1076515	1076952	438
ecsA	BSU_10040	1077440	1078183	744
ecsB	BSU_10050	1078176	1079402	1227
ecsC	BSU_10060	1079422	1080132	711
sndC	BSU_10070	1080150	1081340	1191
yhfA	BSU_10080	1081413	1082804	1392
yhgB	BSU_10090	1082870	1083184	315
hmoB	BSU_10100	1083229	1083729	501
pbpF	BSU_10110	1083851	1085995	2145
hemE	BSU_10120	1086117	1087178	1062
hemH	BSU_10130	1087250	1088182	933
hemY	BSU_10140	1088197	1089609	1413
yhgD	BSU_10150	1089755	1090330	576
yhgE	BSU_10160	1090401	1092728	2328
fabHB	BSU_10170	1092770	1093747	978
yhfC	BSU_10180	1093874	1094650	777
yhfE	BSU_10200	1095063	1096103	1041
yhfF	BSU_10210	1096116	1096523	408
gltT	BSU_10220	1096560	1097849	1290
yhfH	BSU_10230	1098120	1098260	141
yhfI	BSU_10240	1098412	1099146	735
lplJ	BSU_10250	1099159	1100154	996
yhfK	BSU_10260	1100219	1100863	645
lcfB	BSU_10270	1100980	1102521	1542
yhfM	BSU_10280	1102560	1102955	396
yhfN	BSU_10290	1103104	1104384	1281
aprE	BSU_10300	1104423	1105568	1146
yhfO	BSU_10310	1106003	1106452	450
yhfP	BSU_10320	1106524	1107516	993
yhfQ	BSU_10330	1107733	1108704	972
phoE	BSU_10340	1108736	1109317	582
yhfS	BSU_10350	1109388	1110482	1095
yhfT	BSU_10360	1110479	1111918	1440
bioY	BSU_10370	1111925	1112485	561
hemAT	BSU_10380	1112620	1113918	1299
yhfW	BSU_10390	1114057	1115586	1530
yhxC	BSU_10400	1115698	1116555	858
yhzC	BSU_10410	1116583	1116816	234
comK	BSU_10420	1117109	1117687	579
yhxD	BSU_10430	1117734	1118633	900
yhjA	BSU_10440	1118850	1119119	270
yhjB	BSU_10450	1119162	1120631	1470
yhjC	BSU_10460	1120628	1120828	201
yhjD	BSU_10470	1121036	1121398	363
yhjE	BSU_10480	1121550	1122173	624
sipV	BSU_10490	1122175	1122681	507
yhjG	BSU_10500	1122862	1124361	1500
yhjH	BSU_10510	1124438	1124965	528
glcP	BSU_10520	1125123	1126328	1206
ntdC	BSU_10530	1126400	1127452	1053
ntdB	BSU_10540	1127466	1128314	849
ntdA	BSU_10550	1128286	1129611	1326
ntdR	BSU_10560	1129715	1130704	990
yhjN	BSU_10570	1130918	1132072	1155
yhjO	BSU_10580	1132179	1133384	1206
yhjP	BSU_10590	1133498	1135225	1728
yhjQ	BSU_10600	1135255	1135581	327
yhjR	BSU_10610	1135699	1136136	438
addB	BSU_10620	1136320	1139820	3501
addA	BSU_10630	1139807	1143505	3699
sbcD	BSU_10640	1143577	1144752	1176
sbcC	BSU_10650	1144749	1148141	3393
hlpB	BSU_10660	1148155	1148457	303
gerPF	BSU_10670	1148494	1148712	219
gerPE	BSU_10680	1148744	1149145	402
gerPD	BSU_10690	1149145	1149321	177
gerPC	BSU_10700	1149318	1149935	618
gerPB	BSU_10710	1149958	1150191	234
gerPA	BSU_10720	1150206	1150427	222
pchI	BSU_10730	1150850	1151020	171
yisJ	BSU_10740	1151166	1152089	924
mblK	BSU_10750	1152244	1153149	906
yisL	BSU_10760	1153265	1153621	357
wprA	BSU_10770	1153789	1156473	2685
yisN	BSU_10780	1156504	1157091	588
asnO	BSU_10790	1157237	1159081	1845
yizA	BSU_10800	1159211	1159690	480
farP	BSU_10810	1159922	1160746	825
yisQ	BSU_10820	1160776	1162143	1368
yisR	BSU_10830	1162267	1163130	864
iolQ	BSU_10840	1163148	1164161	1014
iolX	BSU_10850	1164370	1165398	1029
yisT	BSU_10860	1165449	1165958	510
yisU	BSU_10870	1166008	1166670	663
yisV	BSU_10880	1166737	1168191	1455
yisX	BSU_10890	1168199	1168837	639
yisY	BSU_10900	1169043	1169849	807
yisZ	BSU_10910	1169877	1170476	600
yitA	BSU_10920	1170473	1171642	1170
yitB	BSU_10930	1171755	1172465	711
slpH	BSU_10940	1172650	1173336	687
slpS	BSU_10950	1173333	1174091	759
yitE	BSU_10960	1174136	1174765	630
yitF	BSU_10970	1174861	1175976	1116
yitG	BSU_10980	1175985	1177253	1269
yitH	BSU_10990	1177365	1178213	849
yitI	BSU_11000	1178218	1178667	450
samT	BSU_11010	1178757	1180595	1839
yitK	BSU_11020	1180909	1181400	492
yitL	BSU_11030	1181499	1182395	897
yitM	BSU_11040	1182448	1183032	585
yitO	BSU_11055	1183029	1183958	930
yitP	BSU_11070	1183943	1184479	537
yizB	BSU_11079	1184657	1185004	348
yitQ	BSU_11080	1185001	1185588	588
yitR	BSU_11090	1185608	1185901	294
nprB	BSU_11100	1186037	1187653	1617
fakBB	BSU_11110	1187700	1188551	852
yitT	BSU_11120	1188689	1189531	843
ipi	BSU_11130	1189646	1190005	360
yizC	BSU_11139	1190036	1190233	198
ribZC	BSU_11140	1190490	1191302	813
yitV	BSU_11150	1191423	1192190	768
yitW	BSU_11160	1192254	1192562	309
yitY	BSU_11170	1192858	1194288	1431
yitZ	BSU_11180	1194333	1194827	495
argC	BSU_11190	1195034	1196071	1038
argJ	BSU_11200	1196091	1197311	1221
argB	BSU_11210	1197326	1198102	777
argD	BSU_11220	1198099	1199256	1158
carA	BSU_11230	1199327	1200388	1062
carB	BSU_11240	1200381	1203473	3093
argF	BSU_11250	1203461	1204420	960
yjzC	BSU_11260	1204506	1204685	180
yjzD	BSU_11270	1204731	1204916	186
yjaU	BSU_11280	1205165	1205899	735
yjaV	BSU_11290	1205981	1206538	558
med	BSU_11300	1206629	1207582	954
comZ	BSU_11310	1207597	1207788	192
yjzB	BSU_11320	1207818	1208057	240
fabHA	BSU_11330	1208222	1209160	939
fabF	BSU_11340	1209183	1210424	1242
yjaZ	BSU_11350	1210500	1211285	786
appD	BSU_11360	1211477	1212463	987
appF	BSU_11370	1212460	1213449	990
appB	BSU_11390	1215243	1216193	951
appC	BSU_11400	1216210	1217121	912
yjbA	BSU_11410	1217326	1218078	753
trpS	BSU_11420	1218113	1219105	993
oppA	BSU_11430	1219849	1221486	1638
oppB	BSU_11440	1221594	1222529	936
oppC	BSU_11450	1222533	1223450	918
oppD	BSU_11460	1223455	1224531	1077
oppF	BSU_11470	1224533	1225450	918
yjbB	BSU_11480	1225557	1226774	1218
yjbC	BSU_11490	1226938	1227516	579
spxA	BSU_11500	1227697	1228092	396
yjbE	BSU_11510	1228135	1228791	657
mecA	BSU_11520	1229068	1229724	657
coiA	BSU_11530	1229915	1231036	1122
pepF	BSU_11540	1231083	1233095	2013
yizD	BSU_11549	1233133	1233300	168
spxH	BSU_11550	1233614	1234513	900
yjbI	BSU_11560	1234510	1234908	399
cwlQ	BSU_11570	1235163	1235708	546
yjbK	BSU_11580	1235912	1236484	573
yjbL	BSU_11590	1236609	1236977	369
relP	BSU_11600	1237006	1237641	636
ppnKA	BSU_11610	1237660	1238460	801
yjbO	BSU_11620	1238523	1239374	852
prpE	BSU_11630	1239387	1240121	735
kefQ	BSU_11640	1240356	1242200	1845
tenA	BSU_11650	1242449	1243159	711
tenI	BSU_11660	1243134	1243751	618
thiO	BSU_11670	1243735	1244844	1110
thiS	BSU_11680	1244844	1245044	201
thiG	BSU_11690	1245041	1245811	771
thiF	BSU_11700	1245808	1246818	1011
thiD	BSU_11710	1246837	1247652	816
fabI	BSU_11720	1247788	1248564	777
cotO	BSU_11730	1248665	1249348	684
cotZ	BSU_11740	1249442	1249888	447
cotY	BSU_11750	1250016	1250504	489
cotX	BSU_11760	1250656	1251174	519
cotW	BSU_11770	1251273	1251590	318
cotV	BSU_11780	1251631	1252017	387
yjcA	BSU_11790	1252177	1252533	357
yjzK	BSU_11799	1252815	1253021	207
yjcB	BSU_11800	1252858	1253073	216
yjcZ	BSU_11809	1253103	1253252	150
spoVIF	BSU_11810	1253385	1253639	255
yjcD	BSU_11820	1253713	1255992	2280
yjzE	BSU_11839	1256109	1256363	255
yjcF	BSU_11840	1256436	1256858	423
yjcG	BSU_11850	1256862	1257377	516
yjcH	BSU_11860	1257414	1258136	723
metI	BSU_11870	1258492	1259613	1122
metC	BSU_11880	1259606	1260778	1173
yjcK	BSU_11890	1260811	1261356	546
yjcL	BSU_11900	1261426	1262616	1191
yjcM	BSU_11910	1263702	1264931	1230
yjcN	BSU_11920	1265057	1265377	321
yjzF	BSU_11928	1265530	1265661	132
yjzG	BSU_11929	1265677	1265850	174
yjcO	BSU_11930	1265887	1266348	462
yjcP	BSU_11940	1266614	1267117	504
yjcQ	BSU_11950	1267129	1267413	285
yjcR	BSU_11960	1267574	1268101	528
yjcS	BSU_11970	1268275	1268592	318
yjdA	BSU_11980	1268829	1269584	756
yjdB	BSU_11990	1269733	1270080	348
manR	BSU_12000	1270631	1272577	1947
manP	BSU_12010	1272725	1274677	1953
manA	BSU_12020	1274692	1275639	948
yjdF	BSU_12030	1275809	1276291	483
yjdG	BSU_12040	1276337	1276843	507
yjdH	BSU_12050	1277062	1277457	396
trnE	BSU_12060	1277686	1278165	480
yjzH	BSU_12069	1278205	1278399	195
yjdJ	BSU_12070	1278565	1278894	330
ctaO	BSU_12080	1279514	1280503	990
cotT	BSU_12090	1280626	1280874	249
pdaC	BSU_12100	1281128	1282531	1404
yjfA	BSU_12110	1282571	1283044	474
yjfB	BSU_12120	1283169	1283336	168
yjfC	BSU_12130	1283463	1284362	900
yjgA	BSU_12140	1284371	1284769	399
yjgB	BSU_12150	1284870	1285445	576
yjgC	BSU_12160	1285591	1288548	2958
yjgD	BSU_12170	1288541	1289101	561
yjhA	BSU_12180	1289298	1289939	642
yjhB	BSU_12190	1290018	1290644	627
yjiA	BSU_12200	1290675	1290953	279
cypE	BSU_12210	1291344	1292534	1191
ppuG	BSU_12220	1292557	1293735	1179
yjzI	BSU_12229	1293776	1293964	189
yjjA	BSU_12230	1294138	1294950	813
yjkA	BSU_12240	1294996	1295748	753
yjkB	BSU_12250	1295748	1296500	753
yjlA	BSU_12260	1296620	1297594	975
yjlB	BSU_12270	1297726	1298223	498
yjlC	BSU_12280	1298612	1299034	423
ndh	BSU_12290	1299074	1300252	1179
uxaC	BSU_12300	1300450	1301871	1422
exuM	BSU_12310	1301939	1303318	1380
yjmC	BSU_12320	1303423	1304436	1014
yjmD	BSU_12330	1304442	1305461	1020
uxuA	BSU_12340	1305486	1306565	1080
uxuB	BSU_12350	1306562	1307398	837
exuT	BSU_12360	1307446	1308714	1269
exuR	BSU_12370	1308802	1309803	1002
uxaB	BSU_12380	1309880	1311322	1443
uxaA	BSU_12390	1311319	1312812	1494
yjnA	BSU_12400	1312851	1313615	765
yjoA	BSU_12410	1313840	1314304	465
yjoB	BSU_12420	1314453	1315724	1272
rapA	BSU_12430	1315869	1317005	1137
phrA	BSU_12440	1316995	1317129	135
yjpA	BSU_12450	1317157	1317414	258
xlyB	BSU_12460	1317535	1318488	954
yjqA	BSU_12470	1318528	1318905	378
pghB	BSU_12480	1319011	1319613	603
xpdC	BSU_12490	1319690	1320526	837
xkdA	BSU_12500	1320570	1321166	597
xre	BSU_12510	1321329	1321670	342
yjzJ	BSU_12519	1321848	1322027	180
xkdB	BSU_12520	1322014	1322850	837
xkdC	BSU_12530	1322750	1323550	801
ykzK	BSU_12539	1323550	1323717	168
xkdD	BSU_12540	1323802	1324152	351
xtrA	BSU_12550	1324149	1324355	207
xpf	BSU_12560	1324471	1324980	510
xtmA	BSU_12570	1325096	1325893	798
xtmB	BSU_12580	1325890	1327191	1302
xkdE	BSU_12590	1327195	1328682	1488
xkdF	BSU_12600	1328702	1329529	828
xkdG	BSU_12610	1329555	1330490	936
ykzL	BSU_12619	1330512	1330895	384
xkdH	BSU_12620	1330892	1331248	357
xkdI	BSU_12630	1331245	1331730	486
xkdJ	BSU_12640	1331743	1332183	441
ykzM	BSU_12649	1332187	1332405	219
xkdK	BSU_12650	1332402	1333802	1401
xkdM	BSU_12660	1333804	1334247	444
xkdN	BSU_12671	1334339	1334785	447
xkzB	BSU_12672	1334815	1334964	150
xkdO	BSU_12680	1334966	1338964	3999
xkdP	BSU_12690	1338957	1339616	660
xkdQ	BSU_12700	1339632	1340609	978
xkdR	BSU_12710	1340609	1340875	267
xkdS	BSU_12720	1340932	1341357	426
xkdT	BSU_12730	1341350	1342396	1047
xkdU	BSU_12740	1342380	1342958	579
xkzA	BSU_12749	1342955	1343227	273
xkdV	BSU_12750	1343230	1345293	2064
xkdW	BSU_12760	1345305	1345634	330
xkdX	BSU_12770	1345631	1345795	165
xepA	BSU_12780	1345839	1346678	840
xhlA	BSU_12790	1346731	1347000	270
xhlB	BSU_12800	1347013	1347276	264
xlyA	BSU_12810	1347289	1348182	894
spoIISC	BSU_12815	1348219	1348356	138
spoIISB	BSU_12820	1348442	1348612	171
spoIISA	BSU_12830	1348612	1349358	747
pitB	BSU_12840	1349468	1350469	1002
ykaA	BSU_12850	1350482	1351099	618
steT	BSU_12860	1351375	1352691	1317
mhqA	BSU_12870	1353080	1354030	951
ykcB	BSU_12880	1354285	1356435	2151
ykcC	BSU_12890	1356447	1357418	972
htrA	BSU_12900	1357936	1359285	1350
proCC	BSU_12910	1359454	1360272	819
dppA	BSU_12920	1360401	1361225	825
dppB	BSU_12930	1361242	1362168	927
dppC	BSU_12940	1362174	1363136	963
dppD	BSU_12950	1363141	1364148	1008
dppE	BSU_12960	1364151	1365800	1650
ldcA	BSU_12970	1365888	1366847	960
aeeB	BSU_12980	1366844	1367944	1101
eepC	BSU_12990	1367941	1368831	891
ykfD	BSU_13000	1368844	1369833	990
pgl	BSU_13010	1369876	1370925	1050
ddaH	BSU_13020	1371015	1371875	861
ykhA	BSU_13030	1372035	1372553	519
hmpA	BSU_13040	1372792	1373991	1200
ykzH	BSU_13050	1374068	1374292	225
ykjA	BSU_13060	1374437	1375168	732
ykkA	BSU_13070	1375260	1375787	528
ykkB	BSU_13080	1375777	1376295	519
gdnC	BSU_13090	1376517	1376855	339
gdnD	BSU_13100	1376855	1377172	318
purU	BSU_13110	1377243	1378145	903
proB	BSU_13120	1378496	1379593	1098
proA	BSU_13130	1379605	1380852	1248
ohrA	BSU_13140	1380978	1381403	426
ohrR	BSU_13150	1381434	1381877	444
ohrB	BSU_13160	1382020	1382430	411
ykzN	BSU_13169	1382457	1382627	171
guaN	BSU_13170	1382677	1383147	471
metE	BSU_13180	1383320	1385608	2289
ispA	BSU_13190	1386024	1386983	960
rsbRB	BSU_13200	1387206	1388039	834
thiX	BSU_13210	1388070	1388834	765
thiW	BSU_13220	1388809	1390452	1644
thiV	BSU_13230	1390439	1391038	600
thiU	BSU_13240	1391040	1391642	603
ykoG	BSU_13250	1391953	1392639	687
ykoH	BSU_13260	1392643	1394007	1365
ykoI	BSU_13270	1394004	1394684	681
ykoJ	BSU_13280	1394776	1395288	513
ykzD	BSU_13290	1395371	1395508	138
mgtE	BSU_13300	1396013	1397368	1356
tnrA	BSU_13310	1397411	1397743	333
ykzB	BSU_13320	1397938	1398093	156
ykoL	BSU_13330	1398181	1398363	183
ykoM	BSU_13340	1398496	1398960	465
ykoN	BSU_13350	1398975	1400096	1122
ykoP	BSU_13360	1400188	1400739	552
